scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,expense_ratio_pct,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
DSP Midcap Fund - Regular - Growth,21.48,26.87,25.61,1.132121852474724,0.26598577542043045,-0.002523004664699259,-0.17248105753451382,1.61,11.0,6.0,8.0,38.0,22.0,59.46137491141035
DSP Small Cap Fund - Regular - Growth,65.14,27.0,27.92,0.9497958246616028,0.3005787817097677,0.01145515996052072,-0.31171900300634214,1.52,10.0,13.0,2.0,26.5,37.0,59.39050318922751
Nippon India Large Cap Fund - Regular - Growth,33.98,22.65,20.88,1.0816591793457035,0.21829397904608644,-0.00835383212696199,-0.17414075086657232,1.51,14.0,8.0,11.0,24.5,23.0,59.24875974486181
SBI Bluechip Fund - Direct Plan - Growth,5.71,16.27,18.71,0.9532794968660094,0.1986859936686296,-0.026159307513513426,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,58.61091424521617
HDFC Top 100 Fund - Direct Plan - Growth,28.68,18.43,16.56,0.775790249821121,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,19.0,18.0,16.0,14.0,18.0,50.956768249468475
Nippon India ETF Nifty 50 BeES,22.49,20.01,13.91,0.6648569985490616,0.1513635464823924,-0.0014335213897800994,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,50.67328136073708
Nippon India Large Cap Fund - Direct - Growth,25.54,21.09,14.19,0.6452074382933211,0.15643835948169668,-0.036639006718609354,-0.18629743138595511,0.72,15.0,21.0,22.0,5.5,26.0,50.17717930545713
UTI Nifty 50 Index Fund - Regular - Growth,20.21,19.67,15.88,0.8170993373494365,0.17048756803412696,-0.01948678568947455,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,46.13749114103475
ICICI Pru Bluechip Fund - Regular - Growth,8.49,13.98,16.36,0.7979728586052853,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,25.0,17.0,17.0,20.0,14.0,44.57831325301207
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.27,14.75,19.57,0.9262873467360144,0.20873010086942337,-0.02638771994384302,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,44.36569808646351
ICICI Pru Value Discovery Fund - Regular - Growth,41.82,18.42,14.89,0.6488787755249537,0.1625385327998104,0.041896462728119754,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,41.74344436569809
ICICI Pru Liquid Fund - Regular - Growth,7.43,7.39,6.34,0.49572339295331247,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,38.19985825655564
Axis Bluechip Fund - Direct - Growth,19.77,20.82,6.92,0.1296144979566932,0.08232801295222093,0.02588321244009314,-0.21751396370148224,0.75,16.0,29.0,28.0,8.0,31.0,37.77462792345854
UTI Flexi Cap Fund - Regular - Growth,13.58,25.56,14.68,0.6195175900829826,0.16211256794033255,0.016682689437770872,-0.21539827112383225,1.64,13.0,22.0,21.0,39.5,30.0,36.14457831325302
DSP Top 100 Equity Fund - Regular - Growth,18.11,18.04,11.7,0.46403744922047724,0.13173190226099432,-0.004050271130006517,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,33.30970942593906
HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.44,11.25,9.88,0.30061192104254764,0.11989100971217971,0.009054412621739153,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,31.537916371367842
Kotak Liquid Fund - Regular - Growth,7.12,6.7,6.06,-0.08874729621557284,0.06455677495375998,-0.00040074423947840073,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,30.40396881644226
Kotak Bluechip Fund - Regular - Growth,16.84,17.27,11.82,0.4942725378672353,0.13042924450705445,0.036356399022199816,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,28.41956059532248
Nippon India Small Cap Fund - Regular - Growth,15.81,8.01,14.27,0.4484340089089914,0.1750072167561127,0.10349663691337586,-0.2334488614483311,1.53,27.0,26.0,18.0,28.5,32.0,27.214741318214053
Nippon India Gilt Securities Fund - Regular - Growth,10.45,4.06,4.66,-0.3566295075143679,0.05074772999976104,0.0012566742731558616,-0.08316361763638702,0.55,33.0,38.0,35.0,1.0,6.0,23.03330970942595
SBI Magnum Gilt Fund - Regular Plan - Growth,5.52,5.84,5.16,-0.22657538662791585,0.05620895216638369,-0.006413850728276465,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,22.041105598866054
ABSL Liquid Fund - Regular - Growth,7.24,6.32,5.71,-0.8155673679088261,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,21.048901488306186
HDFC Short Term Debt Fund - Regular - Growth,3.7,3.92,3.91,-0.5670947928476845,0.042817920315060876,0.0011582183155281448,-0.04308263824636349,0.56,34.0,39.0,38.0,2.0,4.0,19.914953933380602
Kotak Emerging Equity Fund - Regular - Growth,22.5,7.76,5.87,0.07599984804658923,0.0780443887615508,0.01805687420811815,-0.24003511326274884,1.56,28.0,30.0,29.0,33.0,33.0,15.09567682494685
SBI Small Cap Fund - Direct Plan - Growth,13.95,-1.34,1.81,-0.057186625828179925,0.048824215945539845,0.06200180438267164,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,10.914245216158776
Axis Bluechip Fund - Regular - Growth,1.61,0.53,5.58,0.030784850954585923,0.0689952982167755,0.009730745001153633,-0.1440161790933726,1.64,36.0,31.0,30.0,39.5,15.0,9.355067328136087
ABSL Small Cap Fund - Regular - Growth,-23.99,-4.15,6.95,0.1626607692864677,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,8.78809355067331
Axis Small Cap Fund - Regular - Growth,-42.8,-11.71,1.34,-0.07597357117478916,0.048015953637759554,-0.06695117463929204,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,3.3309709425939076
HDFC Top 100 Fund - Regular Plan - Growth,-2.22,1.29,2.32,-0.20151706755966942,0.03747580763443281,-0.058268431438808936,-0.24734440880673303,1.55,35.0,35.0,39.0,32.0,34.0,0.07087172218285787
UTI Mid Cap Fund - Regular - Growth,-16.8,-0.77,1.03,-0.2058316078547032,0.028969397866379445,-0.042125029021894314,-0.2800112356639287,1.51,37.0,36.0,40.0,24.5,35.0,0.0
